Item,Geog location?,Year,Number of items (by same author). i.e. Photos of different exemplars of the same instrument in the same geographical area,Type (if desc + photo counts as photo as most photos described),Trait,Subtype,Name in native language,Group,Where ,Comments,Notes
15,,,,Photo,ground harp,"instrument traditionnel, temporaire, improvisé au moyen d'un couvercle de tôle, d'une branche arquée et d'un fil de nylon que le jeune garçon centrafricain pince avec ses doigts"" (Dournon 1981, p. 52) . le dispositif d'amplification est un trou dans la terre ; la table d'harmonie consiste en une grosse feuille épaisse, une plaque d'écorce ou un vieux couvercle de marmite ; la corde est tendue entre une branche arquée et le centre de la table d'harmonie ;la corde est ici dans une racine aérienne d'une liane Vanilla sp., mais peut aussi bien être en nylon (fil de pêche).",dìgòmbé,"Aka, CAR","Fürniss, 2012",,
43,,,,Photo,ground harp,,dìgombé,"Aka, CAR","Fürniss, unpublished",,
1,,2017,,Photo,harp,,kùndé,"Aka, CAR","Pendere-Ye, 2017",,
8,,,,Photo,harp,5 strings,kùndé,"Aka, CAR","Eppelboin, 1995; Furniss, 2012",,
25,,2011,,Photo,harp,5 strings,kùndé,"Aka, CAR","Bahuchet,1985",,
27,,,,Photo,harp,5 strings,kùndé,"Aka, CAR","UNESCO, 2008",,
40,,,,Photo,harp ,,"ngòmbi, kùndí","Aka, CAR","Fürniss, unpublished",,
59,,,,Photo,honey container,Bark container for transporting honey back to camp,mòkòbé,"Aka, CAR","Bahuchet, 1985",,
60,,,,Photo,honey container,"Temporary collection basket, made with leaves",pèndí,"Aka, CAR","Bahuchet, 1985",,
69,,,,Photo,honey container,Bark container for transporting honey back to camp,mòkòbé,"Aka, CAR","Bahuchet, 1992",,
53,,,,Description,horn,lateral,embulé,"Aka, CAR","Fürniss, unpublished",,
93,,,,Photo,knife,,,"Aka, CAR","Bahuchet, 1985",,
2,,,,Photo,lamellaphone,sanza,sànzé,"Aka, CAR","Furniss, 2017; Motte, 1980",,
56,,1992,,Photo,leather sac,,sàwàlà,"Aka, CAR","Bahuchet, 1992",,
95,,,,Photo,machette,,,"Aka, CAR","Bahuchet,1985",,
44,,,,Photo,machettes banging together,,dikétò,"Aka, CAR","Fürniss, unpublished",,
52,,,,Description,machettes banging together,,díkétò,"Aka, CAR","Bahuchet and Furniss, 1995",,
4,,,,Photo,musical bow,2 stringed,èngbítí,"Aka, CAR","Dehoux and Guillaume, 1995",,
7,,,,Photo,musical bow,1 stringed. ,mbèlà,"Aka, CAR","Bahuchet and Furniss, 1995",,
9,,,,Photo,musical bow,2 stringed,èngbítí,"Aka, CAR","Fürniss and Bahuchet 1995, pp. 90, 105 ",,
10,,,,Photo,musical bow,"2 stringed. 2 string. String made of vanilla (excelent acoustics). Aka's us unique in having a double resonator: formed by attaching a Marantacea leaf to the bow, then placed into a pot held on the knees of the player (the rest of the musical bows from pygmies dont have this)",èngbítí,"Aka, CAR","Fürniss and Bahuchet 1995, pp. 90, 106",,
11,,,,Photo,musical bow,,mbèlà,"Aka, CAR","Furniss, 2017",,
12,,,,Photo,musical bow,2 stringed,èngbítí,"Aka, CAR","Fürniss and Bahuchet 1995, pp. 90, 106",,
14,,,,Photo,musical bow,1 stringed,mbèlà,"Aka, CAR","Bahuchet and Furniss, 1995",,
38,,,,Photo,musical bow,one string,"mbèla, ngindi","Aka, CAR","Fürniss, unpublished",,
39,,,,Photo,musical bow,two strings,èngbítí,"Aka, CAR","Fürniss, unpublished",,
74,,,,Photo,net,hunting - about 1m tall and anything between 10-150m long,kìà,"Aka, CAR","UNESCO, 2008; Bahuchet, 1992",,
80,,,,Photo,net,Hunting,kìà,"Aka, CAR","Hewlett, 1996",,
81,,,,Photo,net,Hunting,kìà,"Aka, CAR","Hewlett, 1996",,
82,,,,Photo,net,Hunting,kìà,"Aka, CAR","Hewlett, 1996",,
55,,,,Photo,net ,Hunting,kìà,"Aka, CAR",Enciclopedia Aka,,
21,,,,Photo,rattle,Basket,"lìgbégbé, sòkò, èzékézé","Aka, CAR","Fürniss, 2012 ",,
29,,,,Photo,rattle,,sòkò or zékézéké,"Aka, CAR","UNESCO, 2008",,
31,,1980,,Photo,rattle,Basket,"sòkò, èzékézé","Aka, CAR","Motte, 1980",,
70,,,,Photo,sac,,,"Aka, CAR","Bahuchet, 1992",,
84,,,,Photo,snare,,èkpòló,"Aka, CAR","Bahuchet, 1992",,
85,,,,Photo,snare,,kúkà,"Aka, CAR","Bahuchet, 1992",,
86,,,,Photo,snare,,ègbòtògbòtò,"Aka, CAR","Bahuchet, 1992",,
87,,,,Photo,snare,,èténdé,"Aka, CAR","Bahuchet, 1992",,
88,,,,Photo,snare,,èkpòló,"Aka, CAR","Bahuchet, 1992",,
89,,,,Photo,snare,,mólèké,"Aka, CAR","Bahuchet, 1992",,
54,,,,Photo,spear,,kòngó,"Aka, CAR",Enciclopedia Aka,,
61,,,5,Photo,spear,metal head,kongo,"Aka, CAR","Bahuchet, 1992",they obtain the heads from the villagers nearby,
62,,,,Photo,spear,metal head,kongo,"Aka, CAR","Bahuchet, 1992",,
63,,,,Photo,spear,metal head,kongo,"Aka, CAR","Bahuchet, 1992",,
64,,,,Photo,spear,metal head,kongo,"Aka, CAR","Bahuchet, 1992",,
65,,,,Photo,spear,metal head,kongo,"Aka, CAR","Bahuchet, 1992",,
18,,,,Photo,struck beam,Also called log drum,mòkóngo,"Aka, CAR","Fürniss, 2012 ",,
45,,,,Photo,struck beam,,mòkóngò,"Aka, CAR","Fürniss, unpublished",,
83,,,,Photo,trap,,tòbà,"Aka, CAR","Bahuchet, 1992",,
46,,,,Photo,whistle,grains,polepole,"Aka, CAR","Fürniss, unpublished",,
47,,,,Photo,whistle,grains,polepole,"Aka, CAR","Fürniss, unpublished",,
48,,,,Photo,whistle,papaya leafstalk,,"Aka, CAR","Fürniss, unpublished",,
58,,,,Photo,wooden auger,,sùmà,"Aka, CAR","Bahuchet, 1976; Dounias, 2001",Particularly for uprooting Dioscorea semperflorens,
76,,,,Photo,wooden auger,,sùmà,"Aka, CAR","Bahuchet, 2019",,
77,,,,Photo,wooden auger,,sùmà,"Aka, CAR","Bahuchet, 2019",,
78,,,,Photo,wooden auger,,sùmà,"Aka, CAR","Bahuchet, 2019",,
79,,,,Photo,wooden auger,,sùmà,"Aka, CAR","Bahuchet, 2017; Regnault, 1911",,
92,,,,Photo,wooden auger,,sùmà,"Aka, CAR","Dounias, 2001",,
13,,,,Photo,zither harp,Only one to have a wooden body and 3 strings made og a single aerial root of a vanilla liana,bògóngó,"Aka, CAR","Fürniss, 2012; Bahuchet, 1992",,
37,Mongoumba,1994,,Photo,zither harp,,bògóngó,"Aka, CAR","Fürniss, 2012",,
41,,,,Photo,zither harp,,bògóngó,"Aka, CAR","Fürniss, unpublished",,
42,,,,Photo,zither harp,,bògóngó,"Aka, CAR","Fürniss, unpublished",,
98,,,,Photo,arrow,metal tip,mbànzà ,"Aka, CAR","Sunyol, n.d.; Hatz, 2019 (word)",,
99,,,,Photo,arrow,metal tip,mbànzà ,"Aka, CAR","Sunyol, n.d.; Hatz, 2019 (word)",,
100,,,,Photo,arrow,metal tip,mbànzà ,"Aka, CAR","Sunyol, n.d.; Hatz, 2019 (word)",,
101,,,,Photo,arrow,metal tip,mbànzà ,"Aka, CAR","Sunyol, n.d.; Hatz, 2019 (word)",,
105,,,,Photo,arrow,wooden tip,mbànzà ,"Aka, CAR","Sunyol, n.d.; Hatz, 2019 (word)",,
109,,,,Description,blowgun,,sòmbó/ kúkà,"Aka, CAR","Bahuchet, 1992",,
106,,,,Photo,bow,,ngbàngo ,"Aka, CAR","Sunyol, n.d.; Hatz, 2019 (word)",,
102,,,,Photo,crossbow,,mbànò,"Aka, CAR","Sunyol, n.d.; Hatz, 2019 (word)",,
104,,,,Photo,crossbow,Wood,mbànò,"Aka, CAR","Sunyol, n.d.; Hatz, 2019 (word)",,
103,,,,Photo,darts,"Wooden, shorter than arrows",,"Aka, CAR","Sunyol, n.d.; Hatz, 2019 (word)",,
97,,,,Description,digging stick,,,"Aka, CAR","Bahuchet, 1985",,
96,,,,Description,honey axe,,,"Aka, CAR","Bahuchet, 1985",,
115,,,,Description,knife,,,"Aka, CAR","Bahuchet,1985",,
107,,,,Photo,net,Hunting,kìà,"Aka, CAR","Lupo, 2014; Fa et al. 2016",,
108,,,,Description,snare,cable,,"Aka, CAR",Fa et al. 2016,,
110,,,,Description,snare,"Cable Snare, Hunting (no vine snare)",,"Aka, CAR","Bahuchet, 1992",,
112,,,,Description,snare,,sòmbó,"Aka, CAR","Bahuchet,1985",,
113,,,,Description,snare,,lékè,"Aka, CAR","Bahuchet,1985",,
111,,,,Description,trap,,ngombé or lékè,"Aka, CAR","Bahuchet, 1992",,
114,,,,Description,trap,,kàbélé,"Aka, CAR","Bahuchet,1985",,
149,,,,Photo,arrow,,,Babongo,"BBC, 2018",,
152,,,,Photo,axe,,,Babongo,"Iyer, 2019",,
161,,,,Description,axe,,,Babongo,"Matsuura, 2006",,
118,Waka forest,,,Photo,bells,body,kindu/kindi (dep if Tsogo or Nzebi),Babongo,"Iyer, 2019",,
119,Waka forest,,,Photo,bells,body,kindu/kindi (dep if Tsogo or Nzebi),Babongo,"Iyer, 2019",,
126,Waka forest,,,Photo,bells,body,kindu/kindi (dep if Tsogo or Nzebi),Babongo,"Iyer, 2019",,
127,Waka forest,,,Photo,bells,body,kindu/kindi (dep if Tsogo or Nzebi),Babongo,"Iyer, 2019",,
128,Waka forest,,,Photo,bells,body,kindu/kindi (dep if Tsogo or Nzebi),Babongo,"Iyer, 2019",,
154,,,,Photo,blowgun,,,Babongo,"Iyer, 2019",,
155,,,,Description,blowgun,,,Babongo,"Knight, 2003",,
132,,,,Photo,body bells,Seeds (envelope shaped),,Babongo,"Iyer, 2019",,
133,,,,Photo,body bells,Seeds (envelope shaped),,Babongo,"Iyer, 2019",,
134,,,,Photo,body bells,closed bells,,Babongo,"Iyer, 2019",,
137,,,,Photo,body bells,Seeds (envelope shaped),,Babongo,"Iyer, 2019",,
138,,,,Photo,body bells,closed bells,,Babongo,"Iyer, 2019",,
139,,,,Photo,body bells,closed bells,,Babongo,"Iyer, 2019",,
150,,,,Photo,bow,,,Babongo,"Iyer, 2019; Knight, 2003",,
116,Waka forest,,,Photo,drum,"Cylyndrical wooden drum, nailed skin",mosumba/mousomba (depending on whether Nzebi or Tsogo),Babongo,"Iyer, 2019; Fürniss, 2017",,
117,Waka forest,,,Photo,drum,Conical,,Babongo,"Iyer, 2019; Fürniss, 2017",,
123,Waka forest,,,Photo,drum,"Conical wooden drum, 2 laced skins",ndzungu or ndungu depending if Tsogo or Nzebi,Babongo,"Iyer, 2019",,
124,Waka forest,,,Photo,drum,"Conical wooden drum, 2 laced skins",ndzungu or ndungu depending if Tsogo or Nzebi,Babongo,"Iyer, 2019",,
125,Waka forest,,,Photo,drum,"Cylyndrical wooden drum, nailed skin",mosumba/mousomba (depending on whether Nzebi or Tsogo),Babongo,"Iyer, 2019",,
131,,,,Photo,drum,"Conical, 2 membranes",,Babongo,"Matsuura, 2010",,
135,,,,Photo,drum,"Conical, 2 membranes",,Babongo,"Iyer, 2019",,
136,,,,Photo,drum,"Conical, 2 membranes",,Babongo,"Iyer, 2019",,
141,,,,Photo,drum,,,Babongo,"Iyer, 2019",,
142,,,,Photo,drum,,,Babongo,"Iyer, 2019",,
157,,,,Description,fishtrap,fishing,,Babongo,"Knight, 2003",,
151,SE Gabon,1928,,Photo,honey container,Bark container for transporting honey back to camp,,Babongo,"Leroy, 1928; Bahuchet 2017",,
153,,,,Photo,machette,,,Babongo,"Iyer, 2019",,
162,,,,Description,machette,,,Babongo,"Matsuura, 2006",,
122,Waka forest,,,Photo,musical bow,,mgongo,Babongo,"Iyer, 2019",,
146,,,,Description,musical bow,,,Babongo,"Oloa-Biloa, 2014",,
160,,,,Description,net ,Hunting,,Babongo,"Oloa-Biloa, 2014",,
120,Waka forest,,,Photo,rattle,3 stacked pumpkins,,Babongo,"Iyer, 2019",,
121,Waka forest,,,Photo,rattle,3 stacked pumpkins,,Babongo,"Iyer, 2019",,
129,Waka forest,,,Photo,rattle,3 stacked pumpkins,,Babongo,"Iyer, 2019",,
130,Waka forest,,,Photo,rattle,3 stacked pumpkins,,Babongo,"Iyer, 2019",,
140,,,,Photo,rattle,3 stacked pumpkins,,Babongo,"Iyer, 2019",,
156,,,,Description,snare,Vine snare,,Babongo,"Knight, 2003",,
159,Gabon,2005,,Description,spear,Hunting,,Babongo,"Matsuura, 2006",,
143,,,,Description,struck beam/ stuck beam,Played with sticks,,Babongo,"Oloa-Biloa, 2014",,
144,,,,Description,struck beam/ stuck beam,,,Babongo,"de Ruyter, 2003; Le Bomin and Mbot 2011, 2012a, 2012b",,
158,,,,Description,trap,hunting,,Babongo,"Knight, 2003",,
145,,,,Description,whistle,"three types: one made with papaya leaf stalks, one with earth and one with bamboo","baka, bake, bakoko",Babongo,"de Ruyter, 2003; Le Bomin and Mbot 2011, 2012a, 2012b",,
147,,,,Description,whistle,"three types: one made with papaya leaf stalks, one with earth and one with bamboo","baka, bake, bakoko",Babongo,"de Ruyter, 2003; Le Bomin and Mbot 2011, 2012a, 2012b",,
148,,,,Description,whistle,"three types: one made with papaya leaf stalks, one with earth and one with bamboo","baka, bake, bakoko",Babongo,"de Ruyter, 2003; Le Bomin and Mbot 2011, 2012a, 2012b",,
164,Near the town of Lastourville in Ogooué-Lolo province and tending toward Haut- Ogooué province ,,,Description,banging sticks,metal,badunka,Babongo (Awandji-speaking),"Le Bomin, 2012",,
172,Near the town of Lastourville in Ogooué-Lolo province and tending toward Haut- Ogooué province ,,,Description,banging sticks,,bakoko,Babongo (Awandji-speaking),"Le Bomin, 2012",,
177,,,,Photo,basket,Carry small fish,,Babongo (Awandji-speaking),"Le Bomin, 2016",,
178,,,,Photo,basket,Carry small fish,,Babongo (Awandji-speaking),"Le Bomin, 2016",,
163,Near the town of Lastourville in Ogooué-Lolo province and tending toward Haut- Ogooué province ,,,Description,bells,dog collar,ndibu,Babongo (Awandji-speaking),"Le Bomin, 2012",,
168,Near the town of Lastourville in Ogooué-Lolo province and tending toward Haut- Ogooué province ,,,Description,bells,Metal open bells with a suspended crotal for a clapper ,kindi,Babongo (Awandji-speaking),"Le Bomin, 2012",,
170,Near the town of Lastourville in Ogooué-Lolo province and tending toward Haut- Ogooué province ,,,Description,bells,Woven rattle bell,litchèké,Babongo (Awandji-speaking),"Le Bomin, 2012",,
165,"Same province as the Téké-speaking groups, in the southern villages near the city of Franceville ",,,Description,drum,"Conical, two laced skins (watch out as they are normally single-skinned)",ndrungu ,Babongo (Awandji-speaking),"Le Bomin, 2012",,
176,,,,Photo,fishtrap,Carry small fish,,Babongo (Awandji-speaking),"Le Bomin, 2016",,
173,Near the town of Lastourville in Ogooué-Lolo province and tending toward Haut- Ogooué province ,,,Description,horn,antilope horn,pungi,Babongo (Awandji-speaking),"Le Bomin, 2012",,
166,Near the town of Lastourville in Ogooué-Lolo province and tending toward Haut- Ogooué province ,,,Description,lamellaphone,,sanzi,Babongo (Awandji-speaking),"Le Bomin, 2012",,
167,Near the town of Lastourville in Ogooué-Lolo province and tending toward Haut- Ogooué province ,,,Description,musical bow,1 string,mugongo,Babongo (Awandji-speaking),"Le Bomin, 2012",,
169,Near the town of Lastourville in Ogooué-Lolo province and tending toward Haut- Ogooué province ,,,Description,rattle,Bean seeds,mwarakasa ,Babongo (Awandji-speaking),"Le Bomin, 2012",,
171,Near the town of Lastourville in Ogooué-Lolo province and tending toward Haut- Ogooué province ,,,Description,rattle,,masoku,Babongo (Awandji-speaking),"Le Bomin, 2012",,
174,Near the town of Lastourville in Ogooué-Lolo province and tending toward Haut- Ogooué province ,,,Description,whistle,papaya leafstalk,libeka,Babongo (Awandji-speaking),"Le Bomin, 2012",,
175,Near the town of Lastourville in Ogooué-Lolo province and tending toward Haut- Ogooué province ,,,Description,whistle,papaya leafstalk,pungi,Babongo (Awandji-speaking),"Le Bomin, 2012",,
184,"Same province as the Téké-speaking groups, in the southern villages near the city of Franceville ",,,Description,banging sticks,,mitsele,Babongo (Kanighi-speaking),"Le Bomin, 2012",,
179,"Same province as the Téké-speaking groups, in the southern villages near the city of Franceville ",,,Description,drum,Also cylyndrical and with one laced (not pegged) skin.,ngomo,Babongo (Kanighi-speaking),"Le Bomin, 2012",,
180,"Same province as the Téké-speaking groups, in the southern villages near the city of Franceville ",,,Description,musical bow,,dongo,Babongo (Kanighi-speaking),"Le Bomin, 2012",,
181,"Same province as the Téké-speaking groups, in the southern villages near the city of Franceville ",,,Description,rattle,Basket,besa,Babongo (Kanighi-speaking),"Le Bomin, 2012",,
182,"Same province as the Téké-speaking groups, in the southern villages near the city of Franceville ",,,Description,rattle,Gourd,djaga,Babongo (Kanighi-speaking),"Le Bomin, 2012",,
183,Region Mbigou,1991,,Description,rattle,,bisa,Babongo (Kanighi-speaking),"Le Bomin, 2012",,
196,Region Mbigou,,,Description,banging sticks,,mbaka,Babongo (Nzebi-speaking),"Le Bomin, 2012",,
201,,,,Photo,basket,Carry small fish,,Babongo (Nzebi-speaking),"Le Bomin, 2016",,
202,,,,Photo,basket,Carry small fish,,Babongo (Nzebi-speaking),"Le Bomin, 2016",,
193,Region Mbigou,,,Description,bells,Metal open bells with a suspended crotal for a clapper ,kindi,Babongo (Nzebi-speaking),"Le Bomin, 2012",,
185,,,,Photo,drum,"Conical wooden drum, 2 laced skins",ndungu,Babongo (Nzebi-speaking),"Bahuchet, 2011",,
186,,,,Photo,drum,"Conical wooden drum, 2 laced skins",ndungu,Babongo (Nzebi-speaking),"Bahuchet, 2011",,
187,Region Mbigou,,,Description,drum,"Conical, two laced skins (watch out as they are normally single-skinned)",ndungu,Babongo (Nzebi-speaking),"Le Bomin, 2012",,
188,Region Mbigou,,,Description,drum,"Conical, two laced skins (watch out as they are normally single-skinned)",ndungu,Babongo (Nzebi-speaking),"Le Bomin, 2012",,
189,Region Mbigou,,,Description,drum,"Cylyndrical wooden drum, nailed skin",mousomba,Babongo (Nzebi-speaking),"Le Bomin, 2012",,
190,Region Mbigou,,,Description,drum,Short one. Also cylyndrical and with one pegged skin.,imbungu,Babongo (Nzebi-speaking),"Le Bomin, 2012",,
191,Batéké plateaux area,,,Description,harp,"Anthropomorphic harp, sanza, accordeon ",ngombi,Babongo (Nzebi-speaking),"Le Bomin, 2012",,
197,Region Mbigou,,,Description,horn,,vungi,Babongo (Nzebi-speaking),"Le Bomin, 2012",,
192,Region Mbigou,,,Description,musical bow,,mogongo,Babongo (Nzebi-speaking),"Le Bomin, 2012",,
203,,,,Photo,net ,hunting,,Babongo (Nzebi-speaking),"Knight, 2003",,
194,Region Mbigou,,,Description,rattle,basket,iyagha,Babongo (Nzebi-speaking),"Le Bomin, 2012",,
195,Region Mbigou,,,Description,rattle,,ijaja,Babongo (Nzebi-speaking),"Le Bomin, 2012",,
198,Region Mbigou,,,Description,whistle,Bamboo,dibeka,Babongo (Nzebi-speaking),"Le Bomin, 2012",,
199,Region Mbigou,,,Description,whistle,Earth,vovo,Babongo (Nzebi-speaking),"Le Bomin, 2012",,
200,Region Mbigou,,,Description,whistle,Papaya leafstalk,dibeka,Babongo (Nzebi-speaking),"Le Bomin, 2012",,
205,Ngounié province ,,,Description,drum,"Conical, two laced skins (watch out as they are normally single-skinned)",ngoma (kakani and kadziri),Babongo (Teké-speaking),"Le Bomin, 2012",,
209,Batéké plateaux area,,,Description,horn,,ntsiemi,Babongo (Teké-speaking),"Le Bomin, 2012",,
207,Batéké plateaux area,,,Description,musical bow,,otchendze ,Babongo (Teké-speaking),"Le Bomin, 2012",,
208,Batéké plateaux area,,,Description,rattle,gourd,ngoma,Babongo (Teké-speaking),"Le Bomin, 2012",,
204,Batéké plateaux area,,,Description,whistle,blue duiker,ntsiemi,Babongo (Teké-speaking),"Le Bomin, 2012",,
206,Batéké plateaux area,,,Description,zither harp,,otchendze ,Babongo (Teké-speaking),"Le Bomin, 2012",,
210,,,,Photo,basket,gathering firewood,,Babongo (Tsogho-speaking),"Knight, 2003",,
211,,,,Photo,basket,,,Babongo (Tsogho-speaking),"Knight, 2003",,
212,,,,Photo,basket,,,Babongo (Tsogho-speaking),"Knight, 2003",,
213,,,,Photo,basket,"Made with bark, to carry fish, crabs or prawns",,Babongo (Tsogho-speaking),"Le Bomin, 2016",,
226,Ngounié province ,,,Description,banging sticks,,kono,Babongo (Tsogo-speaking),"Le Bomin, 2012",,
221,Ngounié province ,,,Description,bells,"metal open, with suspended crotal for a clapper",kindu,Babongo (Tsogo-speaking),"Le Bomin, 2012",,
215,Ngounié province ,,,Description,drum,"Conical, two laced skins (watch out as they are normally single-skinned)","ngomo, nzungu",Babongo (Tsogo-speaking),"Le Bomin, 2012",,
216,Ngounié province ,,,Description,drum,"Cylyndrical wooden drum, nailed skin",mosumba,Babongo (Tsogo-speaking),"Le Bomin, 2012",,
217,Ngounié province ,,,Description,drum,on feet with one nailed skin,,Babongo (Tsogo-speaking),"Le Bomin, 2012",,
218,"districts of Lomié and Messok, in the Haut-Nyong Department ",2012-2017,,Description,drum,"Short, goblet anthropomorphic, single skinned",mokiki,Babongo (Tsogo-speaking),"Le Bomin, 2012",,
219,Ngounié province ,,,Description,harp,Anthropomorphic harp,ngombi,Babongo (Tsogo-speaking),"Le Bomin, 2012",,
227,Ngounié province ,,,Description,horn,,ghebumba,Babongo (Tsogo-speaking),"Le Bomin, 2012",,
220,Ngounié province ,,,Description,musical bow,,mogongo,Babongo (Tsogo-speaking),"Le Bomin, 2012",,
222,Ngounié province ,,,Description,rattle,Bean seeds,motseji,Babongo (Tsogo-speaking),"Le Bomin, 2012",,
223,Ngounié province ,,,Description,rattle,Double bean seeds,genza,Babongo (Tsogo-speaking),"Le Bomin, 2012",,
224,Ngounié province ,,,Description,rattle,,"bisanza, moséké",Babongo (Tsogo-speaking),"Le Bomin, 2012",,
225,Ngounié province ,,,Description,rattle,basket,soki,Babongo (Tsogo-speaking),"Le Bomin, 2012",,
214,Ngounié province ,,,Description,struck beam,,bake,Babongo (Tsogo-speaking),"Le Bomin, 2012",,
228,Ngounié province ,,,Description,whistle,blue duiker,obembe,Babongo (Tsogo-speaking),"Le Bomin, 2012",,
229,Ngounié province ,,,Description,whistle,earth,vovo,Babongo (Tsogo-speaking),"Le Bomin, 2012",,
328,,,,Photo,arrow,no metal head,mbánji ,"Baka, Cameroon","Devin, 2020",,
330,,,,Photo,arrow,wooden tip,mbánji ,"Baka, Cameroon","Sunyol, n.d.; Hatz, 2019 (word)",,
331,,,,Photo,arrow,wooden tip,mbánji ,"Baka, Cameroon","Sunyol, n.d.; Hatz, 2019 (word)",,
332,,,,Photo,arrow,wooden tip,mbánji ,"Baka, Cameroon","Sunyol, n.d.; Hatz, 2019 (word)",,
333,,,,Photo,arrow,metal tip,,"Baka, Cameroon","Sunyol, n.d.; Hatz, 2019 (word)",,
334,,,,Photo,arrow,metal tip,,"Baka, Cameroon","Sunyol, n.d.; Hatz, 2019 (word)",,
335,,,,Photo,arrow,metal tip,,"Baka, Cameroon","Sunyol, n.d.; Hatz, 2019 (word)",,
336,,,,Photo,arrow,metal tip,,"Baka, Cameroon","Sunyol, n.d.; Hatz, 2019 (word)",,
290,,,,Photo,axe,,konga,"Baka, Cameroon","Weig, 2013",,
